,,,YEAR 2010,,,,,,,,,,,,,,,,,YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA,INDICATORS,UOM,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,,SUM,AVG,,,,
,   via kanban card scan,repl order,212,219,131,79,55,118,133,105,81,106,99,87,137,96,122,138,36,0,132,177,124,114,123,130,115,134,100,89,163,122,95,113,106,112,93,119,104,90,92,70,107,126,51,92,73,131,93,90,74,98,136,,"5,542",108.67,,,,
,Number of replenishment orders to Pickface,repl order,977,1189,1156,368,372,1064,1077,926,830,1148,1067,1199,1393,1411,1474,712,491,0,916,1311,1123,936,1101,1123,1125,1316,1069,980,1362,802,1084,1059,1005,944,1331,1268,1291,1186,1243,731,1054,1122,495,768,813,1060,901,944,996,1120,1319,,"51,752","1,014.75",,,,
,   via subinventory transfer,repl order,595,754,758,232,265,699,624,541,468,701,404,292,415,542,680,327,184,0,496,768,708,406,425,388,422,306,114,126,113,97,98,108,103,98,113,157,115,92,132,50,73,104,29,70,70,63,64,70,87,80,98,,"14,724",288.71,,,,
,   via kanban card scan,repl order,382,435,398,136,107,365,453,385,362,447,663,907,978,869,794,385,307,0,420,543,415,530,676,735,703,1010,955,854,1249,705,986,951,902,846,1218,1111,1176,1094,1111,681,981,1018,466,698,743,997,837,874,909,1040,1221,,"37,028",726.04,,,,
WHS to Production Line,Total orders managed,repl order,5996,7165,6197,2188,2348,5435,6052,5627,5448,6484,6100,5946,7487,6789,6227,4016,2130,2,4137,7458,7168,5644,6581,6853,6834,8218,6228,5969,9269,4459,6419,6621,7149,6166,8486,8782,7954,7512,6550,4811,6104,7935,3338,4978,5526,6181,5999,6380,5784,7654,7733,,"308,517","6,049.35",,,,
, Piece picking orders,repl order,4988,5545,4347,1560,1764,3875,4561,4268,4115,4889,4526,4274,5564,4903,4621,3327,1673,2,3057,5545,5636,4392,5212,5062,5256,6330,4841,4338,7104,3368,4676,4953,5602,4646,6472,6493,5647,4971,3842,3077,3746,5306,2363,3413,3792,4027,4072,4284,3721,5260,4938,,"224,244","4,396.94",,,,
, Full package orders,repl order,1008,1620,1850,628,584,1560,1491,1359,1333,1595,1574,1672,1923,1886,1606,689,457,0,1080,1913,1532,1252,1369,1791,1578,1888,1387,1631,2165,1091,1743,1668,1547,1520,2014,2289,2307,2541,2708,1734,2358,2629,975,1565,1734,2154,1927,2096,2063,2394,2795,,"84,273","1,652.41",,,,
,   Pickface pickings,repl order,2530,3456,3401,1269,1341,3399,3600,3554,3375,4207,3811,3579,4741,4230,3530,2491,1243,0,2565,4355,4103,3167,3715,3691,3762,4768,3645,3369,5281,2498,3475,3664,4054,3351,4853,4980,4191,3422,2736,2129,2548,3579,1493,2131,2517,2723,2640,2893,2470,3419,3382,,"165,326","3,241.69",,,,
,   Supermarket Bin Cycles,repl order,2325,1844,788,249,256,285,563,397,468,473,429,401,540,446,640,605,283,0,339,935,1376,1050,1151,1202,1273,1419,988,799,1576,770,835,942,1252,1036,1308,1232,1208,1277,1007,810,1043,1467,682,1062,1126,1182,1227,1164,975,1436,1278,,"47,419",929.78,,,,
,   Secured (HighValue) material orders,repl order,113,180,183,41,108,148,149,121,128,141,168,184,234,239,146,74,37,0,118,211,153,138,142,192,149,239,139,183,241,103,169,145,137,157,202,284,245,325,374,202,311,247,96,146,134,205,163,186,177,219,249,,"8,775",172.06,,,,
