"","Number of trucks arrived","Number of purchase orders handled","   Normal PO","   VMI and other PO","Number of purchase receipts handled","    Receipt (+)","    Reverse Receipt or Correction (-)","    Normal Receipts","    VMI Receipts","    Other Receipts (samples, bolts, nuts, small staffs)","    w/ Customs clearance","    w/o Customs clearance","    w/ Inspection Required","    w/o Inspection Required","Number of palettes handled","Number of Hot Part Requests handled","Putaways and location changes (includes HighValue Parts)","   via subinventory transfer from MFGRECEIVE to MFGHUB","   via subinventory transfer between warehouse locations (inside MFGHUB)","   via move order transfer","Packages handled to/from DMC (Damaged Materials Collection)","   to/from high racks","   to/from other locations","   back to MFGHUB","Packages handled from production (returned parts)","Packages handled for export purposes (send to sisterplants)","Number of replenishment orders from warehouse to Supermarket at production building","   via subinventory transfer","   via kanban card scan","Number of replenishment orders to Pickface","   via subinventory transfer.1","   via kanban card scan.1","Total orders managed"," Piece picking orders"," Full package orders","   Pickface pickings","   Supermarket Bin Cycles","   Secured (HighValue) material orders","   Kardex Orders","   Direct orders from MFGHUB to Production","     via subinventory transfer","     via kanban card scan","Orders placed via Material Toolbox (inhouse developed order system)","Number of supplier bins sent back to suppliers","Number of quality claims to warehouse damage","Number of cycle counted items (based on cycle count policy)","Number of geographically counted items (based on warehouse internal policy)","Waste management - number of containers managed","Number of location change requests handled","MFGFG receipts from production","MFGFG putaways","MFGFG location changes","Total quantity handled","   Total shipped Type#1 Production units","   Total shipped Type#2 production units","   Total shipped other units (Kits, samples)","Total number of trucks handled","Pick from Kardex to Line","Pick from Secured Kardex to Line","Receipt to DMC Collection Point CP","Material movement to a specific production area (kit building, spareparts kitting) or location change (materials relocation in wharehouse)","Receipt from DMC to production line"
"W46",116,1025,906,119,1431,1389,42,1284,146,1,361,1070,15,1416,1858,14,2927,1120,1085,722,300,0,283,17,87,224,180,81,99,1067,404,663,6100,4526,1574,3811,429,168,1111,581,286,295,241,0,12,2802,1492,0,0,681,876,54,756,528,123,105,46,2175,481,217,214,37
"W47",119,1236,1084,152,1803,1783,20,1581,219,3,492,1311,9,1794,2343,19,3517,1290,762,1465,266,0,259,7,127,128,132,45,87,1199,292,907,5946,4274,1672,3579,401,184,1072,710,294,416,209,0,11,3481,3929,0,0,728,892,42,1398,689,90,619,55,2290,448,183,612,32
"W48",102,1352,1186,166,2029,2010,19,1807,221,1,560,1469,8,2021,1980,14,2864,1247,385,1232,311,0,264,47,66,124,218,81,137,1393,415,978,7487,5564,1923,4741,540,234,1260,712,283,429,296,0,0,2732,5445,0,0,829,794,135,1725,587,99,1039,47,2511,564,264,474,26
"W49",111,1218,1056,162,1605,1600,5,1385,219,1,514,1091,22,1583,1730,23,2378,1192,497,689,574,92,440,42,77,227,147,51,96,1411,542,869,6789,4903,1886,4230,446,239,1206,668,227,441,232,2,7,1964,0,0,0,957,930,36,2127,588,181,1358,50,2449,513,297,147,21
"W50",113,1011,884,127,1563,1555,8,1404,156,3,539,1024,10,1553,1560,12,2938,1314,643,981,476,117,328,31,126,303,168,46,122,1474,680,794,6227,4621,1606,3530,640,146,1122,789,451,338,259,4,0,2278,0,0,0,706,854,174,1806,681,192,933,56,2159,421,249,128,33
"W51",88,495,434,61,682,679,3,601,81,0,204,478,5,677,1431,4,1818,638,278,902,770,36,699,35,68,72,230,92,138,712,327,385,4016,3327,689,2491,605,74,438,408,231,177,229,0,4,0,0,0,0,431,435,63,879,471,140,268,43,973,226,197,79,16
"W52",23,290,238,52,354,346,8,294,54,6,138,216,3,351,123,2,1168,131,419,618,423,75,337,11,266,61,57,21,36,491,184,307,2130,1673,457,1243,283,37,275,292,147,145,133,0,12,0,0,0,0,566,345,16,785,457,187,141,37,525,148,207,34,36
"W01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"W02",102,1133,1010,123,1757,1746,11,1603,152,2,566,1191,18,1739,2203,7,3483,1257,748,1478,1037,43,988,6,115,22,170,38,132,916,496,420,4137,3057,1080,2565,339,118,705,410,153,257,149,130,0,0,1513,0,0,327,315,76,295,175,12,108,12,1327,257,110,65,17
"W03",109,1303,1140,163,1934,1916,18,1686,248,0,328,1606,24,1910,2115,22,3033,1229,492,1312,383,41,280,62,163,63,235,58,177,1311,768,543,7458,5545,1913,4355,935,211,1200,757,255,502,298,68,7,3437,4086,10,0,932,929,86,1411,614,145,652,54,2374,531,260,230,40
"W04",90,1156,1000,156,1669,1656,13,1484,179,6,261,1408,17,1652,1446,31,2676,1076,601,999,304,52,237,15,76,131,202,78,124,1123,708,415,7168,5636,1532,4103,1376,153,1035,501,157,344,202,38,5,2520,2945,10,0,779,776,81,1135,446,119,570,46,2004,446,270,92,26
"W05",105,968,846,122,1397,1384,13,1244,149,4,307,1090,31,1366,2407,20,2279,1029,221,1029,250,123,118,9,73,131,152,38,114,936,406,530,5644,4392,1252,3167,1050,138,846,443,175,268,168,24,1,2154,3615,14,0,630,638,122,1326,475,107,744,45,1636,380,175,135,19
"W06",106,1073,950,123,1577,1537,40,1422,151,4,334,1243,23,1554,2749,14,2635,1334,204,1097,203,55,140,8,21,78,205,82,123,1101,425,676,6581,5212,1369,3715,1151,142,898,675,346,329,179,395,1,2923,1412,10,0,743,681,158,1018,313,193,512,38,1757,397,228,226,24
"W07",95,1124,976,148,1627,1620,7,1416,210,1,302,1325,13,1614,1492,24,2377,997,202,1178,305,71,229,5,124,75,158,28,130,1123,388,735,6853,5062,1791,3691,1202,192,1179,589,169,420,167,17,2,1766,3466,16,0,829,791,19,1408,637,86,685,58,2386,475,307,70,40
"W08",102,1037,882,155,1423,1422,1,1220,202,1,370,1053,14,1409,1896,17,2824,1003,399,1422,383,132,231,20,117,88,163,48,115,1125,422,703,6834,5256,1578,3762,1273,149,1043,607,221,386,184,59,1,1697,2404,10,0,762,762,31,1216,610,233,373,60,1977,409,289,276,33
"W09",104,1363,1142,221,1734,1727,7,1474,258,2,426,1308,19,1715,1996,11,2903,1289,441,1173,265,68,181,16,85,57,176,42,134,1316,306,1010,8218,6330,1888,4768,1419,239,1228,564,143,421,213,48,0,2651,1684,16,0,889,793,143,975,507,270,198,63,2438,488,386,74,72
"W10",117,1038,916,122,1346,1340,6,1195,149,2,393,953,20,1326,1827,21,2684,925,583,1176,365,61,122,182,78,101,119,19,100,1069,114,955,6228,4841,1387,3645,988,139,910,546,208,338,213,48,2,3260,3089,6,0,646,748,61,1642,612,380,650,71,1822,375,277,555,53
"W11",85,1120,932,188,1525,1508,17,1294,229,2,430,1095,19,1506,1678,19,2702,1038,493,1171,344,83,242,19,34,83,98,9,89,980,126,854,5969,4338,1631,3369,799,183,1097,521,170,351,182,52,2,985,2583,10,0,695,751,10,1358,414,416,528,61,2195,332,187,114,29
